20;10284;205680;0,211465702;172,862585;36,55450781
30;8400;252000;0,172725777;9,908151679;1,7113932
10;5841;58410;0,120106103;535,8170183;64,35489397
0;5674;0;0,11667215;1098,771452;128,1960276
40;5347;213880;0,109948182;46,95371838;5,162475987
50;3832;191600;0,078795855;283,9992851;22,37796637
60;2881;172860;0,059240829;721,0448518;42,71529483
70;2204;154280;0,045319954;1358,090418;61,54859521
80;2072;165760;0,042605692;2195,135985;93,52528708
90;1432;128880;0,029445633;3232,181552;95,17363017
100;447;44700;0,009191479;4469,227119;41,07880659
110;217;23870;0,004462083;5906,272685;26,35427646
120;1;120;2,05626E-05;7543,318252;0,15511018
;48632;1612040;;Variance:;618,9082655
;Moyenne:;33,14772166;;d:;0,290601556
