0;48577;0;0,627399065;2,56580599;1,609784279
1;8830;8830;0,114044378;0,362179301;0,041304513
2;3871;7742;0,049996125;0,158552613;0,007927016
6;3113;18678;0,040206132;19,34404586;0,777749267
7;2642;18494;0,034122904;29,14041917;0,994355739
5;2280;11400;0,029447472;11,54767255;0,340049769
8;1982;15856;0,025598636;40,93679248;1,047926055
3;1766;5298;0,022808876;1,954925924;0,044589662
4;1727;6908;0,022305169;5,751299235;0,1282837
9;1028;9252;0,013277194;54,73316579;0,726702844
10;529;5290;0,00683233;70,5295391;0,481881102
11;206;2266;0,002660605;88,32591241;0,235000361
14;142;1988;0,001834009;153,7150323;0,281914791
13;129;1677;0,001666107;129,918659;0,216458386
12;125;1500;0,001614445;108,1222857;0,174557458
16;106;1696;0,001369049;207,307779;0,28381454
15;102;1530;0,001317387;179,5114057;0,236485979
17;58;986;0,000749102;237,1041523;0,177615282
20;34;680;0,000439129;338,4932722;0,148642204
18;31;558;0,000400382;268,9005256;0,107663011
19;25;475;0,000322889;302,6968989;0,097737484
23;23;529;0,000297058;457,8823921;0,136017552
22;21;462;0,000271227;416,0860188;0,112853646
21;20;420;0,000258311;376,2896455;0,097199815
26;18;468;0,00023248;595,2715121;0,138388748
24;15;360;0,000193733;501,6787655;0,097191919
25;13;325;0,000167902;547,4751388;0,09192231
27;10;270;0,000129156;645,0678854;0,083314117
28;3;84;3,87467E-05;696,8642587;0,027001172
;77426;124022;;Variance:;8,944332723
;;Moyenne:;1,601813344;;
;;;;d=;0,027687033
