0;30425;0;0,105244406;1047,50991;110,2445579
10;27034;270340;0,093514454;500,2047546;46,77637453
20;36264;725280;0,125442338;152,8995994;19,1800832
30;38318;1149540;0,132547416;5,594444262;0,741529132
40;35875;1435000;0,124096731;58,2892891;7,233510256
50;26290;1314500;0,090940852;310,9841339;28,28116214
60;23574;1414440;0,081545822;763,6789788;62,27482971
70;23210;1624700;0,080286694;1416,373824;113,7159714
80;20253;1620240;0,07005801;2269,068668;158,9664351
90;14822;1333980;0,051271408;3321,763513;170,3114916
100;8548;854800;0,029568749;4574,458358;135,2610097
110;3261;358710;0,011280263;6027,153203;67,9878743
120;1215;145800;0,004202858;1794,815065;7,543352752
;289089;12247330;;;
;;Moyenne:;42,36525776;;
