12877898,12860790,12860768,
12878051,12860768,12877593,
12910853,12914597,12909976,
12911031,12861895,12911725,
12878408,12877077,12876934,
12878463,12911524,12876550,
12944048,12943054,12943315,
12944084,12948549,12963548,
12944111,12943362,12943374,
12911409,12911184,13053566,
12911799,12911925,12911317,
12879052,13043090,12879283,
12944636,12943362,12943758,
12944658,13125370,12943564,
13129263,13128428,13128575,
13109036,13108661,13108722,
13043511,13096632,13043105,
12912529,12912713,12912737,
13129639,13128482,12940831,
13020185,12940871,13018590,
12978894,12978100,12978202,
13044487,13130939,13047160,
12848328,13058365,13053611,
13045323,13047223,13045196,
13045593,13046427,13045335,
12882029,12883209,12883444,
13046008,13044919,13046025,
12882598,12889254,12881871,
13046778,13045576,13046114,
12916115,12938786,12915691,
12916414,12915921,12915846,
12916570,12916148,12916245,
13015020,13014643,13014649,
12944407,12943041,12943429,
12916893,12916389,12916484,
12949698,13043785,12947801,
13113687,13106668,13043575,
12884604,12884661,13010468,
12982943,12943143,12984758,
12982969,12987018,13014843,
13048511,13046815,13048420,
12983293,12987715,12987887,
12950526,12950169,12950335,
12983299,12943985,12988495,
12983357,12911548,12987772,
12983680,12987680,12987164,
12983755,12988395,12986407,
12983866,12988851,12988312,
12983887,13055462,12988018,
12983990,12987887,12988579,
12984187,12989513,12911398,
12984480,12943640,12988017,
12984500,12988271,12986010,
13070401,13063610,13065047,
13083415,13083477,12841626,
13083426,12957589,13084733,
12985291,12986829,12986100,
13018937,13017259,13017593,
12983365,13055462,12988018,
12987949,12986489,12911141,
12857160,13010446,13101780,
13053775,12988235,13055752,
12988241,12987375,12987079,
13054214,13055716,13055579,
13021639,13019438,13119101,
13021858,13001606,13129284,
12989231,12985770,12985759,
12983780,12860790,12988495,
12989343,12987185,12984814,
12989464,12985252,12986920,
12989595,12987162,12987680,
12899789,12898549,12897700,
12989634,12987426,12987160,
12989752,12987668,12986404,
12989774,12986010,12987164,
12957241,12859880,12859958,
12896578,12895182,12895097,
12957801,12956176,12956650,
13056417,12987262,12987523,
12958197,12860181,13096663,
12892745,12892392,13032551,
12892864,12895861,12896767,
12892933,13025262,13025705,
12958677,12956713,12957146,
12958833,12956816,12957644,
12958853,12956903,12957566,
12827800,13063225,13063187,
12827925,12828497,12919452,
12827978,13084782,13084717,
12795823,12789537,12787585,
12861873,12987919,12862182,
12862246,12913852,12806983,
12862256,12862402,12861930,
12979040,12978100,12978386,
13125437,13124180,13123919,
12962125,12963770,12988266,
12962372,13055579,12963900,
12962474,12988096,12963900,
13060875,13058157,13058272,
13126784,13110209,13125098,
13061879,13059977,13084197,
13062137,13058258,13058578,
12898387,12898447,12898708,
13062344,13059204,13059333,
12898856,13109653,12897404,
13062704,13058258,13058578,
13105260,13104784,13104810,
13129054,13128040,13024714,
13129309,13128482,13128496,
13129357,12940831,13128622,
12998328,12940441,12940431,
12834664,12938057,12871417,
13064170,13059926,13060248,
13130135,13119564,13129120,
13130163,13129263,13129035,
12933735,13084175,12934464,
13065092,13060886,13060482,
12934104,12933560,12841688,
12934158,13084678,12841688,
13131552,13131803,12860123,
13033564,13034918,13098337,
13033603,13024449,13098337,
13131976,13131925,13131929,
13132159,13106477,13131475,
13066697,13060607,13060641,
12804928,12805740,12806082,
12874002,12873158,12873200,
12805113,12869999,12806077,
12805132,12806207,12806063,
13001842,13045239,13001354,
12893047,13018529,13005624,
13068426,12843155,12857843,
12806455,12877223,12988847,
12806530,12911200,12807176,
13068812,13063642,13061678,
13068864,13062513,13062561,
13069225,12790964,13062160,
12938172,12939523,12939403,
12958892,12956674,12987177,
12807369,12806802,13004334,
12807429,12806813,12806840,
13069824,13062440,13063392,
13074865,13062255,13061459,
13070320,13062800,13063999,
12939329,12938786,12915763,
13071189,13064247,13062697,
13005744,13004458,13014678,
13071320,12911141,13061695,
13005817,13004458,13004550,
12940360,13000325,12940691,
13006088,13004362,13004550,
13104655,12876094,13104061,
12941229,13025632,12998278,
13072467,12807232,12938157,
13072479,13063873,13063686,
13105445,12877281,13104764,
12877396,12911524,12876563,
12877516,12984906,12876268,
12987016,12987079,12986825,
13096262,12922700,13095730,
